cp_active,propensity_score
0,0.10892505112352675
0,0.2019812117925914
0,0.29313408885681647
0,0.3938959768889399
0,0.34724100799550883
0,0.38500004549614075
0,0.38726947238196535
0,0.5283619614647395
0,0.57082216763655
0,0.6534824388307433
0,0.6975759875696094
0,0.6633841703300148
0,0.00011394570458540164
0,0.00022628776573694495
0,0.00024503585622282403
0,0.0002970200280212561
0,0.0016943497437147056
0,0.0021082647974332174
0,0.003554594248607275
0,0.004435261134018309
0,0.007502589377454124
0,0.008193964688847165
0,0.008528412207138772
0,0.010027682629466881
0,0.01509831472863977
0,0.02079671317267298
0,0.02518347850655499
0,0.039322373730142926
0,0.03141735138594182
0,0.00021009098574884406
0,0.00038678336722798
0,0.00036454507964718205
0,0.0003457079822201963
0,0.001384004282863274
0,0.002749543021293819
0,0.003483304624865198
0,0.004345733229894418
0,0.0064754633888392515
0,0.006527062224247494
0,0.008112028858278624
0,0.008315501828996636
0,0.009448132711554435
0,0.014345555308830773
0,0.0243517313612348
0,0.029080862642833754
0,0.02626578096602794
0,8.327495735348747e-06
0,1.763233491257847e-05
0,1.7968879014881057e-05
0,2.1663823015692468e-05
0,0.00011596940402947744
0,0.00019617414705755108
0,0.00033281759778434113
0,0.00032579618301537553
0,0.0005966598632582432
0,0.0008386954171086953
0,0.0008808824731519857
0,0.000973063615509731
0,0.0010526565351530513
0,0.001400973704951251
0,0.002992687201861142
0,0.003220361618005661
0,0.0028610780701704315
0,0.044994876747376004
0,0.0783500796006448
0,0.06785772336407454
0,0.05692377758917388
1,0.2807308652370827
1,0.5243490335758265
1,0.6861492696067016
1,0.7055779276801222
1,0.8046411041231671
1,0.8324896058194464
1,0.8416157885901752
1,0.8355749544944724
1,0.8803170774778557
1,0.8967647948790638
1,0.9241190887135625
1,0.9346865719390258
1,0.9358162258607898
0,0.0019638696738821407
0,0.0037246358590457664
0,0.0038586316092214827
0,0.0032565845381520094
0,0.019880517363661133
0,0.03770330815153772
0,0.05695558209449412
0,0.09644331644507056
0,0.12321045868503554
0,0.14647118270675522
0,0.14639567156555464
0,0.13027093246709132
1,0.1725371361216731
1,0.19311376655918894
1,0.2940099641128617
1,0.3606683839462314
1,0.38603691792849
0,0.0004991767959370169
0,0.0008801490450994146
0,0.0010292811948823118
0,0.001304188364877315
0,0.006112454237060571
0,0.012116262484615722
0,0.022218457859587537
0,0.030921345788199644
0,0.05813005555678381
0,0.06608045821965856
0,0.061439547195156576
0,0.07134246110275748
0,0.09969151921564941
0,0.13814071062891342
0,0.1836829356001311
0,0.22761289218531788
0,0.21373444028698316
0,0.0019370348720569263
0,0.003933758924015875
0,0.0034933996564180986
0,0.003969059947692979
0,0.01598167451461646
0,0.031660651554851864
1,0.04934599494416186
1,0.0664741387468207
1,0.10515916221975875
1,0.1372904765944282
1,0.11072105192216246
1,0.12072848327468155
1,0.17047661069781342
1,0.19928738025303
1,0.21166405052695578
1,0.2478212201246727
1,0.35925297831094205
0,0.0003442692917241614
0,0.0007213220625457181
0,0.000456251209072803
0,0.00038750273264213513
0,0.001781900814665576
0,0.0036758639980854985
0,0.007047275309313219
0,0.012420508236000284
0,0.026671057983905018
0,0.03403364983285042
0,0.04830728050352403
0,0.038261414911799595
0,0.043284600199868566
0,0.04138561402315489
0,0.05460124803214445
0,0.074151118451508
0,0.0868403831606404
0,2.9850219798116455e-05
0,7.07563268482915e-05
0,6.777947441068554e-05
0,5.571988973934206e-05
0,0.00027754482751226353
0,0.0006989871147979898
0,0.0017299452883628647
0,0.002155161796634836
0,0.004572156432111221
0,0.005476895675493748
0,0.004654878691822652
0,0.007518765733267054
0,0.01198349861415949
0,0.014978726537751607
0,0.01771683929475865
0,0.020096123270967853
0,0.018984114613282616
0,0.018772714415743127
0,0.038835198694109695
0,0.03243212665926352
0,0.028331383234585693
1,0.18822666579306602
1,0.3294608753233227
1,0.5132156826223199
1,0.5233795946194816
1,0.6039303307443422
1,0.6378353642744096
1,0.644509511554964
1,0.6500450175784027
1,0.7325537623718456
1,0.6080968030338738
1,0.6338658210077148
1,0.6903376047616414
1,0.7723194878347387
0,0.00011109397377780867
0,0.00017622051230553742
0,0.000207653494427785
0,0.00015402485617170444
0,0.0007578175558257968
0,0.0015624607581393778
0,0.003559656556901795
0,0.004224024637094357
0,0.007426688714113432
0,0.009585865100681165
0,0.008664868348278502
0,0.007274272425887927
0,0.010650311194707409
0,0.01673886961978817
0,0.02571698108834872
0,0.025857101936179846
0,0.03561847319253308
0,0.005618829979567992
0,0.009135581847138497
0,0.014812717569795207
0,0.01032347160466511
0,0.051154993910346024
0,0.09559705399796765
0,0.14583398159022312
0,0.19949783523798106
1,0.20876278237328685
1,0.25320298691788223
1,0.2809696369237213
1,0.2812066151196496
1,0.355153946289788
1,0.4110345063467796
1,0.44187718823363037
1,0.4501882621761451
1,0.4081699135772623
0,0.00984574750619728
0,0.018128667150681052
0,0.0203649499759657
0,0.01946705156591059
0,0.09849024650913554
0,0.2424130031726633
0,0.36677331204988234
0,0.44133353636714745
0,0.5044100181979033
0,0.5485091421379157
0,0.598901742772176
0,0.6390238113326939
0,0.7172492480575448
0,0.7839414821387615
0,0.8541506998119054
0,0.8722073332252844
0,0.8568008702694003
0,0.025974142531187662
0,0.040908145572741625
0,0.04294164154986838
0,0.05484770288990763
0,0.3051662155561605
0,0.4943961591697188
0,0.6535430121590019
0,0.6570074955893019
0,0.7434604488421027
0,0.7461783220871253
0,0.7970049458843406
0,0.8093718080714551
0,0.8698895278841995
0,0.8716619104891195
0,0.90547309157039
0,0.9092398035785011
0,0.8976336657863225
0,0.00018043385154432623
0,0.00043498519555811385
0,0.0005211415978792881
0,0.0004984768064575206
0,0.002840082927443886
0,0.004796718662830332
0,0.008869081134167596
0,0.011292473264704162
0,0.017123217737484448
0,0.01670517323338876
0,0.02057700111710035
0,0.0253476927384758
0,0.02953939995599678
0,0.037267396940028716
0,0.05382246323738055
0,0.075181066345261
0,0.07083968370836614
0,0.026452902061269816
0,0.0557782544628678
0,0.05086139288769
0,0.04421674312049708
0,0.1553965536163257
0,0.2984149160370206
0,0.40076129299065344
0,0.4060059763341508
1,0.445152237696803
1,0.43435624620027063
1,0.36628162247882823
1,0.4209775454776639
1,0.493557137079594
1,0.4903947426078826
1,0.5504653748642927
1,0.6153430900239775
1,0.6898231568100325
0,0.0005888179681535228
0,0.0012664907272467744
0,0.0008016006992933632
